,id,title
0,781,http://dbpedia.org/resource/Stealing_beauty
0,1799,http://dbpedia.org/resource/Suicide_Kings
0,521,http://dbpedia.org/resource/Romeo_is_Bleeding
0,3596,http://dbpedia.org/resource/Screwed_(2000_film)
0,3682,http://dbpedia.org/resource/Frank_Palancio
0,2635,http://dbpedia.org/resource/The_Mummy's_Curse
0,1590,http://dbpedia.org/resource/Event_Horizon_(film)
0,116,http://dbpedia.org/resource/Anne_Frank_Remembered_(film)
0,3719,http://dbpedia.org/resource/Love's_Labour's_Lost_(2000_film)
0,3811,http://dbpedia.org/resource/Breaker_Morant_(film)
0,3801,http://dbpedia.org/resource/Live_at_the_Blue_Note_(Duke_Ellington_album)
0,2173,http://dbpedia.org/resource/Navigator_(disambiguation)
0,2908,http://dbpedia.org/resource/Boys_Don't_Cry
0,2816,http://dbpedia.org/resource/Iron_Eagle_(disambiguation)
0,2243,http://dbpedia.org/resource/Broadcast_News_(film)
0,3553,http://en.wikipedia.org/wiki/Gossip_(2000_American_film)
0,3344,http://dbpedia.org/resource/Night_Of_A_1000_Cats
0,2095,http://dbpedia.org/resource/The_Shaggy_D.A
0,2,http://dbpedia.org/resource/Jumanji_(film)
0,2950,http://dbpedia.org/resource/Blue_Lagoon
0,1705,http://dbpedia.org/resource/Guy
0,785,http://dbpedia.org/resource/Kingpin_(disambiguation)
0,3861,http://dbpedia.org/resource/Washington_Sentinels
0,3942,http://en.wikipedia.org/wiki/Sorority_House_Massacre_II
0,2005,http://dbpedia.org/resource/Truffle_Shuffle
0,2636,http://en.wikipedia.org/wiki/The_Mummy's_Ghost
0,834,http://en.wikipedia.org/wiki/Phat_Beach
0,392,http://en.wikipedia.org/wiki/The_Secret_Adventures_of_Tom_Thumb
0,117,http://dbpedia.org/resource/Young_Poisoner's_handbook
0,162,http://en.wikipedia.org/wiki/Crumb_(film)
0,2263,http://en.wikipedia.org/wiki/The_Seventh_Sign
0,3802,http://dbpedia.org/resource/Freejack
0,2682,http://dbpedia.org/resource/Limbo_(disambiguation)
0,1727,http://dbpedia.org/resource/The_Horse_Whisperer_(film)
0,2244,http://dbpedia.org/resource/The_Allnighter_(movie)
0,3218,http://dbpedia.org/resource/Poison_(1991_film)
0,3812,http://dbpedia.org/resource/Everything_You_Always_Wanted_to_Know_About_Sex_(but_Were_Afraid_to_Ask)
0,3943,http://dbpedia.org/resource/Bamboozled
0,692,http://en.wikipedia.org/wiki/Solo_(1996_film)
0,2521,http://dbpedia.org/resource/Airport_75
0,3548,http://dbpedia.org/resource/Auntie_Mame_(film)
0,934,http://dbpedia.org/resource/Father_of_the_Bride_(1950_film)
0,3,http://dbpedia.org/resource/Grumpy_Old_Men_II
0,2245,http://dbpedia.org/resource/Working_Girl_(soundtrack)
0,3094,http://en.wikipedia.org/wiki/Maurice_(film)
0,1577,http://dbpedia.org/resource/Mondo_cane
0,2174,http://dbpedia.org/resource/Pee-wee's_Big_Adventure__Pee-wee's_Big_Adventure__1
0,1445,http://dbpedia.org/resource/McHale's_Navy_(1964_film)
0,1707,http://dbpedia.org/resource/The_Man_in_the_Iron_Mask_(1998_film)__The_Man_in_the_Iron_Mask_Original_Soundtrack__1
